indice,dfbeta_constante,"dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN1]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN2]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN4]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN5]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN6]","dfbeta_C(diagnostico, Treatment(reference='DGN3'))[T.DGN8]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC12]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC13]","dfbeta_C(tamanho_tumor_tnm, Treatment(reference='OC11'))[T.OC14]",dfbeta_dispneia_antes_cirurgia,dfbeta_diabetes_mellitus_tipo_2,dfbeta_tabagismo,max_abs_dfbeta,dfbeta_maior_2_raiz_n
59,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
60,0.009292654587833581,-5.636547489855801e-07,-0.10918086795610864,-0.04423634780283055,-0.041552842407220736,-9.194758368733387e-07,-0.004952209562375812,0.015224776565829948,0.4013958570178441,0.015391993911886533,-0.08999875153784341,-0.008617699949425447,0.013488550606293226,0.4013958570178441,True
61,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
62,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
63,-0.03398646230484865,-5.268934751184626e-08,0.003202137326091088,0.0067324074948316125,0.009219064753166804,1.866142661631154e-07,0.010596405931706649,0.01564390738583851,0.005485791738940915,0.010437743294543556,0.005298852983696237,-0.023989975313096365,0.030768487031410434,0.03398646230484865,False
64,0.007540890199362081,1.479062110374935e-07,-0.06190816957199398,0.002637126020134973,0.0001313268847595438,8.834795363990924e-08,-0.0009733716769760736,-0.01654659047327156,0.00880623796106428,0.01567293038793303,0.011698289751028358,0.006976948448699862,-0.006472431067009037,0.06190816957199398,False
65,-0.016631295781393957,5.230113683311745e-08,0.003188322267415278,0.0029343953534759722,0.004583567592525819,1.2484898677876306e-07,0.006462550074858702,-0.004465829151259728,-0.0006120565651607598,4.796070009234858e-05,0.00576366228897472,0.004290018655115756,0.01826830329302037,0.01826830329302037,False
66,-0.0146996334531705,2.7656251748605797e-09,0.0016958553651570609,0.001862288821935893,0.003505649593018895,1.1569182388299461e-07,0.004714666358724029,0.005517565160473445,0.0027617679680210644,0.003193936647521272,0.003059361934070283,0.002783931714133929,0.012590998139497761,0.0146996334531705,False
67,0.060806978825344714,5.236324120928751e-07,0.011912559028211454,0.35766902584743915,-0.004483436159154727,-1.0218878883481666e-06,-0.0015272625627178239,-0.19342122203454257,-0.09240455715357017,-0.07097471919111453,-0.0014447440443039342,-0.06663638738100693,0.026857424117784766,0.35766902584743915,True
68,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
69,-0.0006598344461822055,2.057957811320711e-07,0.007967524000207539,0.008159252054853856,0.005484591779167241,2.5327877221563187e-07,0.0016694375611358198,-0.013587629164497553,-0.0012319157970348377,-0.0006304069276494443,0.007851558520142026,0.006690931053631271,-0.002741772466450218,0.013587629164497553,False
70,-0.0146996334531705,2.7656251748605797e-09,0.0016958553651570609,0.001862288821935893,0.003505649593018895,1.1569182388299461e-07,0.004714666358724029,0.005517565160473445,0.0027617679680210644,0.003193936647521272,0.003059361934070283,0.002783931714133929,0.012590998139497761,0.0146996334531705,False
71,0.02162557601235759,2.5603138203684597e-07,0.013493331255079049,0.025894319689571267,0.011841437878080773,1.0626246774320696e-07,-0.004647725924367532,-0.029834555085849618,-0.010780628497724883,0.005309152724792237,0.00696831689804708,-0.10655584285445147,-0.019960431500706453,0.10655584285445147,True
72,-0.010633603513354786,4.1262102632594515e-08,0.004073836123725326,0.005285916815020021,0.004978989736403544,2.730473356988941e-07,0.0019946261337406034,0.017429216195524722,0.009153257989897037,0.009507729066783191,0.0026907651400368887,0.004200508968125691,-0.0019806684093276817,0.017429216195524722,False
